subject,contrast1,contrast2,contrast3,contrast4,contrast5,contrast6,contrast7,contrast8,contrast9,contrast10,contrast11,contrast12,contrast13,contrast14,contrast15,contrast16,contrast17,contrast18,contrast19,contrast20,contrast21,contrast22,contrast23,contrast24,contrast25,contrast26,contrast27,contrast28,contrast29,contrast30,contrast31,contrast32,contrast33,contrast34,contrast35,contrast36
16,0.000766969,0.001205397,-0.002297542,0.000817276,0.000123025,-0.016403789,-0.065369106,-0.065861206,-0.050913779,0.007446109,-0.017304033,-0.004843453,-0.051297263,0.00684341,-0.016155262,-0.00525209,-0.050530294,0.008048807,-0.018452804,-0.004434815,-0.000765287,0.001011336,0.000986183,-0.000740133,-0.068983099,0.003613992,-0.042481487,-0.022887619,-0.067452525,0.00159132,-0.044453853,-0.021407353,-0.034108906,0.001301328,-0.021733835,-0.011073743
17,0.017422007,0.024949481,-0.026094262,-0.134060678,-0.029445863,-0.120388413,-0.540445378,-0.422661927,0.022538022,-0.258885726,-0.013385288,-0.231820663,0.013827019,-0.271360466,-0.000338157,-0.164790323,0.031249026,-0.246410985,-0.02643242,-0.298851001,-0.004336128,-0.054555598,0.021185744,-0.08007747,0.004816606,-0.545261987,-0.21516196,-0.325283422,0.013488861,-0.436150789,-0.257533447,-0.165128481,0.004576367,-0.245353194,-0.118173852,-0.122602975
18,-0.080391079,0.052411866,0.277066398,0.251160612,0.12506195,0.288763899,1.405179501,0.904931698,0.27660016,0.620450216,0.219098899,0.038906327,0.316795699,0.594244282,0.0805657,-0.086673979,0.23640462,0.646656148,0.357632098,0.164486633,0.09833766,0.151786239,-0.013989607,0.264113505,0.59403672,0.811142781,0.88306077,0.52211873,0.397361399,0.507570302,0.911039983,-0.006108279,0.247849529,0.329678271,0.448525188,0.129002613
19,-0.008710364,-0.004535091,-0.02348566,-0.001484917,-0.009554008,0.001920425,-0.011426314,0.026789717,0.028621015,0.017494801,-0.032676897,-0.005757217,0.032976197,0.019762346,-0.020934067,-0.005014759,0.024265833,0.015227255,-0.044419727,-0.006499676,-0.016098012,-0.003010004,-0.006622727,-0.012485288,-0.020153894,0.008727579,0.039493088,-0.050919403,0.01204213,0.014747587,0.052738543,-0.025948826,-0.002027941,0.005868792,0.023057908,-0.019217057
20,-0.119652445,0.05120751,0.660230676,0.401170696,0.248239109,0.66289112,3.1480427,2.155086258,0.958186603,0.933901365,0.387239133,0.372237379,1.018012824,0.908297612,0.057123796,0.171652031,0.89836038,0.959505123,0.717354472,0.572822726,0.270289116,0.226189103,-0.034222467,0.530700686,1.615714853,1.532327852,1.857865506,1.290177198,1.075136618,1.079949642,1.926310435,0.228775827,0.672712866,0.653069372,0.946043983,0.379738257
21,0.009490083,-0.075614814,-0.075777396,0.180721746,0.009704905,0.076181227,0.324134717,0.285315099,0.060893053,0.422787952,-0.15371421,-0.025241886,0.056148012,0.460595359,-0.115825512,-0.115602759,0.065638094,0.384980545,-0.191602908,0.065118987,-0.033143657,0.052553466,-0.033062366,0.052472175,-0.125964814,0.450099531,0.450618638,-0.126483921,-0.0596775,0.344992598,0.516743372,-0.23142827,-0.046410579,0.198773033,0.241840504,-0.089478048
22,-0.022446575,0.222029185,0.789316207,0.511131934,0.375007688,0.843837115,4.125363859,2.625333097,0.745342701,1.711263184,0.509528307,0.409214279,0.756565989,1.600248592,0.114870203,0.153648311,0.734119415,1.822277776,0.904186411,0.664780247,0.383434817,0.36658056,0.099791305,0.650224073,1.638305827,2.487058027,2.556397193,1.568966659,0.871436191,1.753896904,2.35681459,0.268518515,0.627435505,1.06023873,1.228302943,0.459371293
23,-0.229250471,-0.182151326,0.612742337,0.436510217,0.159462689,0.594764056,2.697981603,2.060130847,0.747116779,0.625013994,0.748314565,0.258610886,0.861742014,0.716089657,0.441943399,0.040355777,0.632491543,0.533938331,1.054685735,0.476865994,0.191745933,0.127179446,-0.205700898,0.524626277,1.687177277,1.010804326,1.166429873,1.531551729,1.303685411,0.756445433,1.577831668,0.482299175,0.747715673,0.441812439,0.686065387,0.503462726
24,0.005984234,0.045147409,0.015172938,0.018618568,0.021230787,-0.024919619,-0.057216903,-0.142140053,-0.087162013,0.092314956,-0.028256339,-0.076575082,-0.09015413,0.069741251,-0.035842808,-0.085884366,-0.084169896,0.11488866,-0.02066987,-0.067265798,0.010578586,0.031882989,0.025565821,0.016895753,-0.104839765,0.047622862,0.030718764,-0.087935668,-0.125996937,-0.016143115,-0.020412879,-0.121727173,-0.057709176,0.007869937,0.002576471,-0.05241571
25,-0.040917222,0.165930286,0.515242097,0.254183334,0.223609623,0.191850763,1.214622299,0.320183806,0.152402228,0.30169153,0.168082991,0.145226301,0.172860839,0.218726388,-0.089538057,0.018134635,0.131943617,0.384656674,0.42570404,0.272317968,0.237162438,0.210056809,0.062506532,0.384712714,0.557647656,0.656974646,0.51660029,0.69802201,0.083322783,0.236861023,0.391587225,-0.071403422,0.160242609,0.223458916,0.22704688,0.156654647
26,-0.162533685,-0.085519762,0.402153301,0.339059892,0.123289936,0.535610843,2.389023245,1.895863497,0.277658593,1.02277203,0.441929215,0.400083536,0.358925435,1.065531911,0.240852565,0.23055359,0.19639175,0.980012149,0.643005866,0.569613482,0.119809808,0.126770065,-0.124026724,0.370606597,0.839397612,1.549625628,1.176403899,1.21261935,0.599778,1.296085501,1.424457344,0.471406154,0.359793905,0.711427782,0.650215312,0.421006376
27,-0.140642,-0.056183797,0.134498026,0.144340269,0.020503125,0.359769083,1.480082585,1.398070088,0.313186663,0.596432693,0.321169998,0.208286979,0.383507663,0.624524591,0.253920986,0.136116844,0.242865663,0.568340794,0.388419013,0.280457114,-0.003071987,0.044078236,-0.098412899,0.139419148,0.631284674,0.848797907,0.811206454,0.668876127,0.637428648,0.760641435,1.008032253,0.390037831,0.31717833,0.402359835,0.454809677,0.264728488
28,0.000659643,0.004310441,0.301048426,0.094480351,0.100124715,0.246820803,1.187532641,0.787033779,0.086811076,0.318513999,0.444623975,0.137334162,0.086481255,0.316358777,0.294099761,0.090093986,0.087140898,0.320669217,0.595148186,0.184574337,0.150854035,0.049395396,0.002485042,0.197764388,0.682289084,0.505243555,0.407810116,0.779722521,0.380581016,0.406452763,0.402840033,0.384193748,0.265717525,0.227924079,0.202662537,0.290979068
29,-0.060573276,-0.03942359,0.012318477,0.015435803,-0.018060647,0.300538835,1.166034047,1.238276631,0.52368812,0.389150778,0.062858129,0.22645831,0.553974759,0.408862574,0.05669889,0.218740408,0.493401483,0.369438984,0.069017368,0.234176211,-0.024127399,-0.011993894,-0.049998433,0.01387714,0.562418851,0.603615194,0.862840469,0.303193579,0.61067365,0.627602984,0.962837333,0.275439299,0.293273125,0.307804543,0.45641945,0.14465822
30,-0.081592083,0.045597344,0.195762973,0.043251649,0.050754971,0.433092541,1.833880098,1.630860211,0.64265938,0.695960123,0.088000886,0.305749767,0.683455422,0.673161451,-0.0098806,0.284123942,0.601863339,0.718758796,0.185882372,0.327375592,0.057085445,0.044424497,-0.01799737,0.119507311,0.787745713,1.046134388,1.320622133,0.513257964,0.673574819,0.957285391,1.356616879,0.274243342,0.365330134,0.500854944,0.669309749,0.196875327
31,-0.04614802,0.007041928,0.361902948,0.098548754,0.105336403,0.10876975,0.645751806,0.224406195,0.347100046,-0.089609427,0.067891693,0.109696686,0.370174057,-0.093130391,-0.113059782,0.06042231,0.324026037,-0.086088463,0.248843167,0.158971064,0.157877465,0.052795341,-0.019553046,0.230225851,0.572869204,0.0728826,0.237937575,0.407814231,0.257114275,-0.032708081,0.277043666,-0.052637472,0.20749587,0.01004363,0.128745311,0.08879419
32,-0.001300558,-0.00127422,0.001766707,-0.001982689,-0.00069769,0.000109503,-0.000957367,0.001833393,-0.000964481,0.000762905,0.00357551,-0.002935922,-0.000314202,0.001400015,0.002692157,-0.001944577,-0.00161476,0.000125795,0.004458864,-0.003927267,0.000233075,-0.001628455,-0.001287389,-0.000107991,0.002844104,-0.003801471,-0.001488965,0.000531598,0.002377955,-0.000544562,0.001085813,0.000747579,0.001305515,-0.001086508,-0.000100788,0.000319794
